"video_id","title","published_at","channel_title","duration"
"guMW2H3oWz4","Mwili wa Chris Msando ulipatikana Muguga, Kikuyu Jumamosi","2017-07-31T17:14:59.000Z","Kenya NTV","PT3M16S"
"zf4Bz7wVo5Q","K24 MASHINANI ( 31.07.2017)","2017-07-31T16:46:59.000Z","K24TV","PT25M10S"
"7XA2Mvkll3Q","Why Every Kenyan Should Vote For Raila Odinga On 8/8/17 Kenya Election Day 2017","2017-07-31T16:45:49.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT55S"
"G3jAnQXZE1U","Governor Joho AMAZING RALLY In Mtongwe Mombasa County Today 7/31/17 | Kenya Election 2017","2017-07-31T16:39:50.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT1H1M23S"
"swj7FKVnjiw","Rais Uhuru Kenyatta waendelea kuusuta muungano wa NASA katika kampeini za Kisii, Kakamega na Bomet","2017-07-31T16:12:49.000Z","KTN News Kenya","PT1M52S"
"1zwFC6F7b2c","Jubilee Rally Today In Mumias 7/31/17 (Part 2) Jubilee In Mumias | Kenya Election 2017","2017-07-31T16:11:50.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT12M35S"
"rgQAoL4wkH0","Mwili ya afisa wa IEBC Chris Msando aliyeripotiwa kutoweka yapatokana Kikuyu","2017-07-31T16:10:18.000Z","KTN News Kenya","PT51S"
"ClRYBKLXcls","Jubilee Rally Today In Mumias 7/31/17 (Part 1) Jubilee In Mumias | Kenya Election 2017","2017-07-31T16:04:13.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT16M5S"
"I1D3l4nHz7U","JUbilee Rally In Bomet Today 7/31/17","2017-07-31T15:55:38.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT8M39S"
"N33XBSxL7AU","Uhuru Kenyatta Speech Today In Bomet 7/31/17 Jubilee In Bomet | Kenya Election 2017","2017-07-31T15:51:35.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT3M24S"
"1bFKB40m09A","Peter Kenneth tells Nairobi residents no to be deceived","2017-07-31T15:50:40.000Z","The Star Kenya","PT2M1S"
"I66GIOoNOBY","NASA team make statement concerning IEBC's ICT expert's murder of Chris Msando","2017-07-31T15:45:46.000Z","KTN News Kenya","PT5M54S"
"QjvogS8EIvM","William Ruto Speech Today In Jubilee Rally In Bomet 7/31/17 Jubilee In Bomet | Kenya Election 2017","2017-07-31T15:34:58.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT7M30S"
"VYDhxqSCuqw","Speaker's rebuttal to Minority leader at meeting with Council of State","2017-07-31T15:16:11.000Z","GhanaWeb TV","PT3M18S"
"QcP59Ob1kLc","NASA Reaction Over The SHOCKING DEATH Of IEBC ICT Manager Chris Musando Today 7/31/17","2017-07-31T15:15:57.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT7M13S"
"7yjhKYpxh3Q","Rais Uhuru Kenyatta aendeleza kampeini za Jubilee katika maeneo ya Bomet: Mbiu ya KTN","2017-07-31T14:54:51.000Z","KTN News Kenya","PT27M32S"
"xZ8pugctPwc","NASA ISSUES A PRESS CONFERENCE ON THE MURDER OF IEBC ICT MANAGER, CHRIS MSANDO","2017-07-31T14:51:00.000Z","Kenya News Alert TV","PT7M13S"
"_kyW8cn1HfM","Gitati: Mutumia mutoria","2017-07-31T14:37:58.000Z","Kameme Tv Old","PT30M32S"
"HLv4RLk1OdQ","Nasa Principals Disclose More Info on IEBC ICT Manager Chris Msando's DEATH.","2017-07-31T14:33:40.000Z","E News Kenya","PT6M18S"
"s8U-1kIoSBw","Moses Great Waitangula Full Speech At Afraha Stadium Nakuru","2017-07-31T14:10:21.000Z","NASA VS JUBILEE","PT5M53S"
"_KpFypKphrQ","Musalia Full Speech at Afraha Stadium Nakuru","2017-07-31T14:10:17.000Z","NASA VS JUBILEE","PT9M26S"
"rQr-9gURmkA","Why IEBC Chris Msando was ASSASSINATED By the Government. Kenya is Headed in the Wrong Direction.","2017-07-31T14:09:49.000Z","E News Kenya","PT5M14S"
"yuKiQgUz0Wc","Emmy Kosgei - Who are you ?","2017-07-31T14:06:25.000Z","Guiding Light Assembly -Abuja","PT10M25S"
"gWC1FEyzfOc","BARINGO IMESHIFT~NASA ALL THE WAY UP 2017","2017-07-31T13:37:44.000Z","KENYAN LATEST VIDEOS 2017","PT35S"
"1d_zD3KU2ig","Uhuru SHEDS TEARS as he Narrates His WORST Moments as President of Kenya","2017-07-31T13:35:23.000Z","E News Kenya","PT1M43S"
"WdOGwldf5Ng","Uhuru Ni wetu","2017-07-31T13:24:26.000Z","UhuruKenyattaTV","PT7S"
